,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
0,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRA chest without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
1,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRA chest without IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
2,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRI heart function and morphology without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
3,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRI heart function and morphology without IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
4,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,CTA coronary arteries with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
5,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,Arteriography coronary with ventriculography,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
6,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRA abdomen without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
7,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRI heart function with stress without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
8,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRI heart function with stress without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
9,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,CTA chest with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
10,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,CT heart function and morphology with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
11,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,SPECT or SPECT/CT MPI rest and stress,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,May be appropriate (Disagreement)
12,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,US echocardiography transesophageal,0 mSvO,0 mSv [ped]O,Usually not appropriate
13,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,Radiography chest,<0.1 mSv☢,<0.03 mSv [ped]☢,Usually not appropriate
14,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,Arteriography pulmonary,10-30 mSv☢☢☢☢,,Usually not appropriate
15,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRA abdomen without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
16,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRA neck without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
17,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRA neck without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
18,Pediatric,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,FDG-PET/CT heart,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
19,Pediatric,"Acquired coronary artery abnormality, TTE inadequate assessment of coronary morphology, next imaging study",3196445,MRA chest without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
20,Pediatric,"Acquired coronary artery abnormality, TTE inadequate assessment of coronary morphology, next imaging study",3196445,MRA chest without IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
21,Pediatric,"Acquired coronary artery abnormality, TTE inadequate assessment of coronary morphology, next imaging study",3196445,MRI heart function and morphology without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
22,Pediatric,"Acquired coronary artery abnormality, TTE inadequate assessment of coronary morphology, next imaging study",3196445,MRI heart function and morphology without IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
23,Pediatric,"Acquired coronary artery abnormality, TTE inadequate assessment of coronary morphology, next imaging study",3196445,CTA coronary arteries with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
24,Pediatric,"Acquired coronary artery abnormality, TTE inadequate assessment of coronary morphology, next imaging study",3196445,Arteriography coronary with ventriculography,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
25,Pediatric,"Acquired coronary artery abnormality, TTE inadequate assessment of coronary morphology, next imaging study",3196445,MRA abdomen without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
26,Pediatric,"Acquired coronary artery abnormality, TTE inadequate assessment of coronary morphology, next imaging study",3196445,MRI heart function with stress without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
27,Pediatric,"Acquired coronary artery abnormality, TTE inadequate assessment of coronary morphology, next imaging study",3196445,MRI heart function with stress without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
28,Pediatric,"Acquired coronary artery abnormality, TTE inadequate assessment of coronary morphology, next imaging study",3196445,CTA chest with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
29,Pediatric,"Acquired coronary artery abnormality, TTE inadequate assessment of coronary morphology, next imaging study",3196445,CT heart function and morphology with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
30,Pediatric,"Acquired coronary artery abnormality, TTE inadequate assessment of coronary morphology, next imaging study",3196445,SPECT or SPECT/CT MPI rest and stress,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,May be appropriate (Disagreement)
31,Pediatric,"Acquired coronary artery abnormality, TTE inadequate assessment of coronary morphology, next imaging study",3196445,US echocardiography transesophageal,0 mSvO,0 mSv [ped]O,Usually not appropriate
32,Pediatric,"Acquired coronary artery abnormality, TTE inadequate assessment of coronary morphology, next imaging study",3196445,Radiography chest,<0.1 mSv☢,<0.03 mSv [ped]☢,Usually not appropriate
